EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Elaboração: FAPESPA,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Equino,
Pará,1980,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,587143.0
RI Baixo Amazonas,1000,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,48655.0
Alenquer,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,5978.0
Almeirim,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,4143.0
Belterra,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,1145.0
Curuá,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,790.0
Faro,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,730.0
Juruti,-,3 Baixo Amazonas,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Suno__total,1922.0
