EstadoMunicpio,Bubalino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Cametá,166,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,2650.0
Igarapé-Miri,74,9,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,420.0
Limoeiro do Ajuru,-,168,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,800.0
Mocajuba,-,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,52.0
Moju,528,1937,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,2500.0
Tailândia,760,1862,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,605.0
Fonte: IBGE/PPM,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,
Elaboração: FAPESPA,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Suno__matrizes_de_sunos,
Pará,775075,284632,1980,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,61762.0
RI Tocantins,2854,7060,0,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,2152.0
Abaetetuba,773,577,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,425.0
Acará,112,619,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,195.0
Baião,357,1465,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,386.0
Barcarena,84,423,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,73.0
Cametá,166,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,
Igarapé-Miri,74,9,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,25.0
Limoeiro do Ajuru,-,168,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,61.0
Mocajuba,-,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,12.0
Moju,528,1937,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Caprino,365.0
